Dates,D,InverseBook,,,,
2007-05-18 ,16:00:00 ,-0.00392353296643175,,,,
2007-05-21 ,16:00:00 ,0.551947839450405,,,,
2007-05-22 ,16:00:00 ,0.141534240131398,,,,
2007-05-23 ,16:00:00 ,-0.0167494629831876,,,,
2007-05-24 ,16:00:00 ,0.158947906056806,,,,
2007-05-25 ,16:00:00 ,-0.612526570895526,,,,
2007-05-29 ,16:00:00 ,0.786736812283834,,,,
2007-05-30 ,16:00:00 ,-0.083065958995504,,,,
2007-05-31 ,16:00:00 ,0.141913668000207,,,,
2007-06-01 ,16:00:00 ,0.579240366129807,,,,
2007-06-04 ,16:00:00 ,0.23936870863537,,,,
2007-06-05 ,16:00:00 ,-0.101508269044026,,,,
2007-06-06 ,16:00:00 ,0.225324929171548,,,,
2007-06-07 ,16:00:00 ,0.0820192684561791,,,,
2007-06-08 ,16:00:00 ,-0.240093141829634,,,,
2007-06-11 ,16:00:00 ,0.108701275816773,,,,
2007-06-12 ,16:00:00 ,0.149236515133245,,,,
2007-06-13 ,16:00:00 ,-0.0506141873338889,,,,
2007-06-14 ,16:00:00 ,0.0893853154650039,,,,
2007-06-15 ,16:00:00 ,0.296744747525598,,,,
2007-06-18 ,16:00:00 ,0.422041056333254,,,,
2007-06-19 ,16:00:00 ,0.282094054521761,,,,
2007-06-20 ,16:00:00 ,0.151868308521801,,,,
2007-06-21 ,16:00:00 ,0.452438863176917,,,,
2007-06-22 ,16:00:00 ,0.466474640298148,,,,
2007-06-25 ,16:00:00 ,0.196727045451515,,,,
2007-06-26 ,16:00:00 ,-0.382560630991399,,,,
2007-06-27 ,16:00:00 ,-0.211629811284835,,,,
2007-06-28 ,16:00:00 ,0.27711407709267,,,,
2007-06-29 ,16:00:00 ,-0.1356039491982,,,,
2007-07-02 ,16:00:00 ,0.283240646332787,,,,
2007-07-03 ,16:00:00 ,-0.278125227143957,,,,
2007-07-05 ,16:00:00 ,0.0723504271594475,,,,
2007-07-06 ,16:00:00 ,0.905371579950476,,,,
2007-07-09 ,16:00:00 ,0.397300215649434,,,,
2007-07-10 ,16:00:00 ,-0.170701290557994,,,,
2007-07-11 ,16:00:00 ,0.890725048806791,,,,
2007-07-12 ,16:00:00 ,0.223455985261767,,,,
2007-07-13 ,16:00:00 ,0.575668783842432,,,,
2007-07-16 ,16:00:00 ,-0.482869097597198,,,,
2007-07-17 ,16:00:00 ,0.445860289243965,,,,
2007-07-18 ,16:00:00 ,0.505842846199977,,,,
2007-07-19 ,16:00:00 ,-0.298450888814362,,,,
2007-07-20 ,16:00:00 ,0.656735094348485,,,,
2007-07-23 ,16:00:00 ,0.388709484669589,,,,
2007-07-24 ,16:00:00 ,0.508057805217625,,,,
2007-07-25 ,16:00:00 ,0.105258718772963,,,,
2007-07-26 ,16:00:00 ,-0.563796810017226,,,,
2007-07-27 ,16:00:00 ,0.216473884025921,,,,
2007-07-30 ,16:00:00 ,0.450705719761692,,,,
2007-07-31 ,16:00:00 ,0.786236550410833,,,,
2007-08-01 ,16:00:00 ,-0.523617949379306,,,,
2007-08-02 ,16:00:00 ,-0.469539965641965,,,,
2007-08-03 ,16:00:00 ,-0.199283544476632,,,,
2007-08-06 ,16:00:00 ,0.304086605962764,,,,
2007-08-07 ,16:00:00 ,-1.30375768738988,,,,
2007-08-08 ,16:00:00 ,-0.0458967821777535,,,,
2007-08-09 ,16:00:00 ,0.074626112886669,,,,
2007-08-10 ,16:00:00 ,-0.376611030638953,,,,
2007-08-13 ,16:00:00 ,-0.541998285344555,,,,
2007-08-14 ,16:00:00 ,0.851856622552802,,,,
2007-08-15 ,16:00:00 ,0.354065283592407,,,,
2007-08-16 ,16:00:00 ,-1.06356131762388,,,,
2007-08-17 ,16:00:00 ,-2.21974863463496,,,,
2007-08-20 ,16:00:00 ,0.259573116656848,,,,
2007-08-21 ,16:00:00 ,0.774745522299067,,,,
2007-08-22 ,16:00:00 ,-1.10031310482549,,,,
2007-08-23 ,16:00:00 ,0.950095982709413,,,,
2007-08-24 ,16:00:00 ,-0.276737815239971,,,,
2007-08-27 ,16:00:00 ,0.74701531327291,,,,
2007-08-28 ,16:00:00 ,0.391511213412542,,,,
2007-08-29 ,16:00:00 ,0.136192987795271,,,,
2007-08-30 ,16:00:00 ,0.783787296146184,,,,
2007-08-31 ,16:00:00 ,0.609732999684588,,,,
2007-09-04 ,16:00:00 ,0.052846564018229,,,,
2007-09-05 ,16:00:00 ,0.404435122412166,,,,
2007-09-06 ,16:00:00 ,0.255190349409475,,,,
2007-09-07 ,16:00:00 ,0.479207402444748,,,,
2007-09-10 ,16:00:00 ,-0.737993900831984,,,,
2007-09-11 ,16:00:00 ,0.602104190135173,,,,
2007-09-12 ,16:00:00 ,0.38702615724436,,,,
2007-09-13 ,16:00:00 ,0.343294857430352,,,,
2007-09-14 ,16:00:00 ,-0.388709633754826,,,,
2007-09-17 ,16:00:00 ,-0.124260160631501,,,,
2007-09-18 ,16:00:00 ,-0.275725006623086,,,,
2007-09-19 ,16:00:00 ,-0.0810267892714715,,,,
2007-09-20 ,16:00:00 ,-0.929904286937562,,,,
2007-09-21 ,16:00:00 ,1.22815277481892,,,,
2007-09-24 ,16:00:00 ,0.645833156215113,,,,
2007-09-25 ,16:00:00 ,1.18656791182314,,,,
2007-09-26 ,16:00:00 ,0.922428849838593,,,,
2007-09-27 ,16:00:00 ,0.135678086894126,,,,
2007-09-28 ,16:00:00 ,-0.101368847766082,,,,
2007-10-01 ,16:00:00 ,-0.110671779838783,,,,
2007-10-02 ,16:00:00 ,-0.162794279237277,,,,
2007-10-03 ,16:00:00 ,0.298100228753014,,,,
2007-10-04 ,16:00:00 ,-0.0701456608834758,,,,
2007-10-05 ,16:00:00 ,-0.222640741720956,,,,
2007-10-08 ,16:00:00 ,0.881377779600457,,,,
2007-10-09 ,16:00:00 ,0.129194290900523,,,,
2007-10-10 ,16:00:00 ,-0.570609719242586,,,,
2007-10-11 ,16:00:00 ,0.492592712525338,,,,
2007-10-12 ,16:00:00 ,-0.737359853972949,,,,
2007-10-15 ,16:00:00 ,0.530756447395119,,,,
2007-10-16 ,16:00:00 ,-0.127662565899041,,,,
2007-10-17 ,16:00:00 ,0.267592245299327,,,,
2007-10-18 ,16:00:00 ,1.361120323238,,,,
2007-10-19 ,16:00:00 ,0.0819780636764816,,,,
2007-10-22 ,16:00:00 ,0.0457201607929799,,,,
2007-10-23 ,16:00:00 ,0.374984570463979,,,,
2007-10-24 ,16:00:00 ,0.459417582090837,,,,
2007-10-25 ,16:00:00 ,-0.968004488332231,,,,
2007-10-26 ,16:00:00 ,-0.282044379069789,,,,
2007-10-29 ,16:00:00 ,-0.036649935487491,,,,
2007-10-30 ,16:00:00 ,0.827969786147002,,,,
2007-10-31 ,16:00:00 ,0.596911982091617,,,,
2007-11-01 ,16:00:00 ,0.606714682779995,,,,
2007-11-02 ,16:00:00 ,-0.0417130731965712,,,,
2007-11-05 ,16:00:00 ,0.510247320664614,,,,
2007-11-06 ,16:00:00 ,-0.533348419377802,,,,
2007-11-07 ,16:00:00 ,-0.0947624358344539,,,,
2007-11-08 ,16:00:00 ,0.48756479800243,,,,
2007-11-09 ,16:00:00 ,-1.09091305802909,,,,
2007-11-12 ,16:00:00 ,-1.01783135144727,,,,
2007-11-13 ,16:00:00 ,-1.0583907697013,,,,
2007-11-14 ,16:00:00 ,0.471412529014482,,,,
2007-11-15 ,16:00:00 ,0.386655222138986,,,,
2007-11-16 ,16:00:00 ,0.866373813671923,,,,
2007-11-19 ,16:00:00 ,0.941424227107689,,,,
2007-11-20 ,16:00:00 ,-0.00925741456581447,,,,
2007-11-21 ,16:00:00 ,-0.246167753783512,,,,
2007-11-23 ,13:00:00 ,0.256792623112853,,,,
2007-11-26 ,16:00:00 ,-0.602740634407312,,,,
2007-11-27 ,16:00:00 ,0.535039126182745,,,,
2007-11-28 ,16:00:00 ,0.19771239471836,,,,
2007-11-29 ,16:00:00 ,0.625053351119862,,,,
2007-11-30 ,16:00:00 ,0.726342751415466,,,,
2007-12-03 ,16:00:00 ,-1.71755075630819,,,,
2007-12-04 ,16:00:00 ,-0.000498467269828852,,,,
2007-12-05 ,16:00:00 ,0.602164509759397,,,,
2007-12-06 ,16:00:00 ,0.0730701984281552,,,,
2007-12-07 ,16:00:00 ,-1.01808926073861,,,,
2007-12-10 ,16:00:00 ,0.41264229666316,,,,
2007-12-11 ,16:00:00 ,-1.12421294377367,,,,
2007-12-12 ,16:00:00 ,1.19970488115923,,,,
2007-12-13 ,16:00:00 ,0.250692217783042,,,,
2007-12-14 ,16:00:00 ,-0.102350763824152,,,,
2007-12-17 ,16:00:00 ,0.213254294792253,,,,
2007-12-18 ,16:00:00 ,-1.04878017215771,,,,
2007-12-19 ,16:00:00 ,-0.0906522896402168,,,,
2007-12-20 ,16:00:00 ,-0.0925791496558839,,,,
2007-12-21 ,16:00:00 ,1.01857702287325,,,,
2007-12-24 ,16:00:00 ,-0.590727786098945,,,,
2007-12-26 ,16:00:00 ,-0.49114444318452,,,,
2007-12-27 ,16:00:00 ,0.160993801253656,,,,
