Date,16:00:00 ,FrenchGrowth,,,,
2007-05-23 ,16:00:00 ,-0.422345947121975,,,,
2007-05-24 ,16:00:00 ,0.27605569702205,,,,
2007-05-25 ,16:00:00 ,-1.857329221574,,,,
2007-05-29 ,16:00:00 ,1.13490977693521,,,,
2007-05-30 ,16:00:00 ,0.514979613499139,,,,
2007-05-31 ,16:00:00 ,1.66823907444604,,,,
2007-06-01 ,16:00:00 ,0.00517646934702197,,,,
2007-06-04 ,16:00:00 ,1.39984612300414,,,,
2007-06-05 ,16:00:00 ,0.665911109369005,,,,
2007-06-06 ,16:00:00 ,-1.23753519227552,,,,
2007-06-07 ,16:00:00 ,-1.86099393840095,,,,
2007-06-08 ,16:00:00 ,-3.52569766890981,,,,
2007-06-11 ,16:00:00 ,1.71832060444299,,,,
2007-06-12 ,16:00:00 ,-0.082154487303994,,,,
2007-06-13 ,16:00:00 ,-2.10818654850736,,,,
2007-06-14 ,16:00:00 ,2.57479038489316,,,,
2007-06-15 ,16:00:00 ,1.42316424498036,,,,
2007-06-18 ,16:00:00 ,1.82442505022285,,,,
2007-06-19 ,16:00:00 ,-0.042504599463934,,,,
2007-06-20 ,16:00:00 ,0.398222429103192,,,,
2007-06-21 ,16:00:00 ,-2.50342105738589,,,,
2007-06-22 ,16:00:00 ,1.84441033989029,,,,
2007-06-25 ,16:00:00 ,-1.55372640307902,,,,
2007-06-26 ,16:00:00 ,-1.4748209122667,,,,
2007-06-27 ,16:00:00 ,-1.77436669837574,,,,
2007-06-28 ,16:00:00 ,1.86257995128627,,,,
2007-06-29 ,16:00:00 ,-0.330715927786312,,,,
2007-07-02 ,16:00:00 ,0.15532490567607,,,,
2007-07-03 ,16:00:00 ,2.16350118999693,,,,
2007-07-05 ,16:00:00 ,0.288352603863941,,,,
2007-07-06 ,16:00:00 ,0.99469242511576,,,,
2007-07-09 ,16:00:00 ,1.14032602085899,,,,
2007-07-10 ,16:00:00 ,0.513100850575857,,,,
2007-07-11 ,16:00:00 ,-2.19433697601191,,,,
2007-07-12 ,16:00:00 ,0.715116521555526,,,,
2007-07-13 ,16:00:00 ,2.43906904970485,,,,
2007-07-16 ,16:00:00 ,1.07581877692337,,,,
2007-07-17 ,16:00:00 ,-0.789905845501204,,,,
2007-07-18 ,16:00:00 ,0.0242618526006717,,,,
2007-07-19 ,16:00:00 ,0.320714506430887,,,,
2007-07-20 ,16:00:00 ,1.04873055379248,,,,
2007-07-23 ,16:00:00 ,-1.54321296424087,,,,
2007-07-24 ,16:00:00 ,-0.0944492014860594,,,,
2007-07-25 ,16:00:00 ,-3.21395883480285,,,,
2007-07-26 ,16:00:00 ,0.134078171558791,,,,
2007-07-27 ,16:00:00 ,-3.07465116512921,,,,
2007-07-30 ,16:00:00 ,-0.25261569647808,,,,
2007-07-31 ,16:00:00 ,0,,,,
2007-08-01 ,16:00:00 ,-0.0957950286260561,,,,
2007-08-02 ,16:00:00 ,-0.75164970487918,,,,
2007-08-03 ,16:00:00 ,0.0974490039789049,,,,
2007-08-06 ,16:00:00 ,-0.363282607827649,,,,
2007-08-07 ,16:00:00 ,-0.731880295253932,,,,
2007-08-08 ,16:00:00 ,-0.226403973609876,,,,
2007-08-09 ,16:00:00 ,0,,,,
2007-08-10 ,16:00:00 ,0,,,,
2007-08-13 ,16:00:00 ,0,,,,
2007-08-14 ,16:00:00 ,0,,,,
2007-08-15 ,16:00:00 ,0,,,,
2007-08-16 ,16:00:00 ,0,,,,
2007-08-17 ,16:00:00 ,0,,,,
2007-08-20 ,16:00:00 ,0,,,,
2007-08-21 ,16:00:00 ,0,,,,
2007-08-22 ,16:00:00 ,0,,,,
2007-08-23 ,16:00:00 ,0,,,,
2007-08-24 ,16:00:00 ,0,,,,
2007-08-27 ,16:00:00 ,0,,,,
2007-08-28 ,16:00:00 ,0,,,,
2007-08-29 ,16:00:00 ,0,,,,
2007-08-30 ,16:00:00 ,0,,,,
2007-08-31 ,16:00:00 ,0,,,,
2007-09-04 ,16:00:00 ,-0.0552987614281673,,,,
2007-09-05 ,16:00:00 ,2.77339778132176,,,,
2007-09-06 ,16:00:00 ,-1.97760768975349,,,,
2007-09-07 ,16:00:00 ,1.68505892176546,,,,
2007-09-10 ,16:00:00 ,-2.91581133541885,,,,
2007-09-11 ,16:00:00 ,-0.182724771618667,,,,
2007-09-12 ,16:00:00 ,2.75104028167415,,,,
2007-09-13 ,16:00:00 ,-0.0561155255980451,,,,
2007-09-14 ,16:00:00 ,1.08830805404238,,,,
2007-09-17 ,16:00:00 ,-0.0588878458394887,,,,
2007-09-18 ,16:00:00 ,-0.641242549661968,,,,
2007-09-19 ,16:00:00 ,5.14845019930431,,,,
2007-09-20 ,16:00:00 ,1.21694519534306,,,,
2007-09-21 ,16:00:00 ,0,,,,
2007-09-24 ,16:00:00 ,0,,,,
2007-09-25 ,16:00:00 ,0,,,,
2007-09-26 ,16:00:00 ,0,,,,
2007-09-27 ,16:00:00 ,0,,,,
2007-09-28 ,16:00:00 ,0,,,,
2007-10-01 ,16:00:00 ,-0.0563747661477051,,,,
2007-10-02 ,16:00:00 ,2.44005825540821,,,,
2007-10-03 ,16:00:00 ,0.0683195999392854,,,,
2007-10-04 ,16:00:00 ,-2.32404484195596,,,,
2007-10-05 ,16:00:00 ,0.0968743204459069,,,,
2007-10-08 ,16:00:00 ,2.80337149583142,,,,
2007-10-09 ,16:00:00 ,-0.590730818693124,,,,
2007-10-10 ,16:00:00 ,1.23685872972433,,,,
2007-10-11 ,16:00:00 ,0.226117486310117,,,,
2007-10-12 ,16:00:00 ,-1.22652733906037,,,,
2007-10-15 ,16:00:00 ,1.61716117717273,,,,
2007-10-16 ,16:00:00 ,-1.13339364808612,,,,
2007-10-17 ,16:00:00 ,-2.173163326611,,,,
2007-10-18 ,16:00:00 ,1.3936527372,,,,
2007-10-19 ,16:00:00 ,-0.220090632142147,,,,
2007-10-22 ,16:00:00 ,-4.11005617413932,,,,
2007-10-23 ,16:00:00 ,-1.63214631753882,,,,
2007-10-24 ,16:00:00 ,0,,,,
2007-10-25 ,16:00:00 ,0,,,,
2007-10-26 ,16:00:00 ,0,,,,
2007-10-29 ,16:00:00 ,0,,,,
2007-10-30 ,16:00:00 ,0,,,,
2007-10-31 ,16:00:00 ,0,,,,
2007-11-01 ,16:00:00 ,-0.0536170525909241,,,,
2007-11-02 ,16:00:00 ,-3.81094318927992,,,,
2007-11-05 ,16:00:00 ,1.70566642971834,,,,
2007-11-06 ,16:00:00 ,-1.74797419776884,,,,
2007-11-07 ,16:00:00 ,2.01125473756447,,,,
2007-11-08 ,16:00:00 ,-4.37053644063159,,,,
2007-11-09 ,16:00:00 ,0.822980913831349,,,,
2007-11-12 ,16:00:00 ,0,,,,
2007-11-13 ,16:00:00 ,0,,,,
2007-11-14 ,16:00:00 ,0,,,,
2007-11-15 ,16:00:00 ,0,,,,
2007-11-16 ,16:00:00 ,0,,,,
2007-11-19 ,16:00:00 ,0,,,,
2007-11-20 ,16:00:00 ,0,,,,
2007-11-21 ,16:00:00 ,0,,,,
2007-11-23 ,13:00:00 ,0,,,,
2007-11-26 ,16:00:00 ,0,,,,
2007-11-27 ,16:00:00 ,0,,,,
2007-11-28 ,16:00:00 ,0,,,,
2007-11-29 ,16:00:00 ,0,,,,
2007-11-30 ,16:00:00 ,0,,,,
2007-12-03 ,16:00:00 ,-0.0597429124275399,,,,
2007-12-04 ,16:00:00 ,0.181734906575081,,,,
2007-12-05 ,16:00:00 ,0,,,,
2007-12-06 ,16:00:00 ,0,,,,
2007-12-07 ,16:00:00 ,0,,,,
2007-12-10 ,16:00:00 ,0,,,,
2007-12-11 ,16:00:00 ,0,,,,
2007-12-12 ,16:00:00 ,0,,,,
2007-12-13 ,16:00:00 ,0,,,,
2007-12-14 ,16:00:00 ,0,,,,
2007-12-17 ,16:00:00 ,0,,,,
2007-12-18 ,16:00:00 ,0,,,,
2007-12-19 ,16:00:00 ,0,,,,
2007-12-20 ,16:00:00 ,0,,,,
2007-12-21 ,16:00:00 ,0,,,,
2007-12-24 ,16:00:00 ,0,,,,
2007-12-26 ,16:00:00 ,0,,,,
2007-12-27 ,16:00:00 ,0,,,,
2007-12-28 ,16:00:00 ,0,,,,
2007-12-31 ,16:00:00 ,0,,,,
2008-01-02 ,16:00:00 ,-0.0593195842944967,,,,
2008-01-03 ,16:00:00 ,-2.81797693041417,,,,
2008-01-04 ,16:00:00 ,-1.20057408816824,,,,
2008-01-07 ,16:00:00 ,-4.86310229821293,,,,
2008-01-08 ,16:00:00 ,0.723346818252151,,,,
2008-01-09 ,16:00:00 ,0,,,,
2008-01-10 ,16:00:00 ,0,,,,
2008-01-11 ,16:00:00 ,0,,,,
2008-01-14 ,16:00:00 ,0,,,,
2008-01-15 ,16:00:00 ,0,,,,
2008-01-16 ,16:00:00 ,0,,,,
2008-01-17 ,16:00:00 ,0,,,,
2008-01-18 ,16:00:00 ,0,,,,
2008-01-22 ,16:00:00 ,0,,,,
2008-01-23 ,16:00:00 ,0,,,,
2008-01-24 ,16:00:00 ,0,,,,
2008-01-25 ,16:00:00 ,0,,,,
2008-01-28 ,16:00:00 ,0,,,,
2008-01-29 ,16:00:00 ,0,,,,
2008-01-30 ,16:00:00 ,0,,,,
2008-01-31 ,16:00:00 ,0,,,,
2008-02-01 ,16:00:00 ,-0.0677152329394631,,,,
2008-02-04 ,16:00:00 ,3.43564821040964,,,,
2008-02-05 ,16:00:00 ,0.131847988676434,,,,
2008-02-06 ,16:00:00 ,0,,,,
2008-02-07 ,16:00:00 ,0,,,,
2008-02-08 ,16:00:00 ,0,,,,
2008-02-11 ,16:00:00 ,0,,,,
2008-02-12 ,16:00:00 ,0,,,,
2008-02-13 ,16:00:00 ,0,,,,
2008-02-14 ,16:00:00 ,0,,,,
2008-02-15 ,16:00:00 ,0,,,,
2008-02-19 ,16:00:00 ,0,,,,
2008-02-20 ,16:00:00 ,0,,,,
2008-02-21 ,16:00:00 ,0,,,,
2008-02-22 ,16:00:00 ,0,,,,
2008-02-25 ,16:00:00 ,0,,,,
2008-02-26 ,16:00:00 ,0,,,,
2008-02-27 ,16:00:00 ,0,,,,
