,Date,Momentum,BookValue
0,2007-01-03,0.14217262226407998,0.04817763573462
1,2007-01-04,0.378864429431484,-0.127375637499642
2,2007-01-05,-0.0196586657001731,0.009460427613057371
3,2007-01-08,0.0323300563432441,0.19808748621406
4,2007-01-09,-0.22502514876277696,-0.00326584500766812
5,2007-01-10,0.213329963874387,0.0700056492502168
6,2007-01-11,-0.306684804528192,0.0333937954128293
7,2007-01-12,-0.0660067538348243,-0.0104320730238099
8,2007-01-16,-0.29958845307705106,-0.120540963679956
9,2007-01-17,0.0324642080439746,-0.0436643315425835
10,2007-01-18,0.0470774319830119,0.01836729096176
11,2007-01-19,0.35865879060975103,-0.0248731812935501
12,2007-01-22,-0.522621851770264,-0.160295283034157
13,2007-01-23,0.100210683508888,0.0768708336766291
14,2007-01-24,-0.423433345075217,-0.100054211231254
15,2007-01-25,-0.280539917752172,-0.1521861790252
16,2007-01-26,0.457573500221906,0.260290483379643
17,2007-01-29,-0.065008662654548,-0.0333940862075644
18,2007-01-30,0.0360374389988824,0.0133449543080039
19,2007-01-31,-0.18923689161169802,-0.141422205100571
20,2007-02-01,-0.326565735613218,-0.0880685125687778
21,2007-02-02,-0.105190068116856,-0.11054176382469601
22,2007-02-05,-0.11878562282438601,-0.00506715544887069
23,2007-02-06,-0.0482641626735568,0.0189888515008771
24,2007-02-07,0.0164999956470318,-0.0374759495621268
25,2007-02-08,0.0437108360155423,-0.0496300772532473
26,2007-02-09,-0.0620370245579765,0.0208709515078061
27,2007-02-12,0.143598733813183,0.0992938050824405
28,2007-02-13,0.0885187251088575,0.0473897660981181
29,2007-02-14,-0.23020374691192103,-0.193586074615694
30,2007-02-15,-0.0981634798545526,-0.0926388614261934
31,2007-02-16,-0.102940535894622,-0.0130838953962534
32,2007-02-20,0.0443932277360464,-0.0159652982305227
33,2007-02-21,-0.0286162434754045,-0.0329939012190929
34,2007-02-22,-0.00942291436070285,0.0258012471840289
35,2007-02-23,-0.00530081207300641,-0.0548073073622303
36,2007-02-26,-0.0133556267453062,-0.0124297946588456
37,2007-02-27,-0.09116565260088601,-0.0992973822332302
38,2007-02-28,0.7143034695431251,0.583175721701454
39,2007-03-01,-0.0757806821472525,-0.0518889049386079
40,2007-03-02,0.18832441245573103,-0.0372026896472113
41,2007-03-05,0.48218583402078496,0.149162832788897
42,2007-03-06,0.465708196083259,0.23245873083990198
43,2007-03-07,-0.6247734653907879,-0.27607897648180796
44,2007-03-08,0.0324455438541989,0.0125319119927908
45,2007-03-09,-0.340261750083619,-0.132017292278312
46,2007-03-12,-0.07344552766420799,0.009682373934737129
47,2007-03-13,-0.0628684728896367,-0.0165673712790881
48,2007-03-14,0.6338319664694789,0.428937762754702
49,2007-03-15,-0.24641752123717398,-0.114076723887762
50,2007-03-16,-0.192040283097656,-0.140960484712528
51,2007-03-19,0.12760022293904,0.157153722359462
52,2007-03-20,-0.296085495408428,-0.156167717179788
53,2007-03-21,-0.220516491899905,-0.15266818358815898
54,2007-03-22,-0.390335327487219,-0.22589958943792998
55,2007-03-23,0.057204247417269004,0.21187646262564303
56,2007-03-26,-0.0607141852393329,-0.0916674945858536
57,2007-03-27,-0.0298864120463881,-0.035588666724649
58,2007-03-28,0.194390775095755,0.125741287420673
59,2007-03-29,0.19654443114980802,0.130825950305241
60,2007-03-30,-0.19970880066047103,-0.0481944784741696
61,2007-04-02,0.006689915781958229,0.0606812593505661
62,2007-04-03,-0.141224015982811,0.218195323217578
63,2007-04-04,-0.27830935709769106,-0.11720765342602302
64,2007-04-05,-0.0790889356749018,0.0917392077805656
65,2007-04-09,-0.121993203404993,0.077383690510108
66,2007-04-10,-0.147847110598674,-0.0544111247543912
67,2007-04-11,-0.0690996107202671,-0.0736388604568334
68,2007-04-12,0.189094484010777,0.142507655468183
69,2007-04-13,-0.0564803510675489,-0.0729348501851781
70,2007-04-16,-0.0576120424043331,-0.12332881283416498
71,2007-04-17,-0.31791201812136893,-0.171651881881201
72,2007-04-18,0.0584604874149224,-0.15586495711012
73,2007-04-19,-0.0963950725769347,-0.18837882983808998
74,2007-04-20,-0.0601627876921289,0.0265527248691782
75,2007-04-23,-0.115479810836877,-0.0609359605816918
76,2007-04-24,-0.152523223844066,0.21744958446796397
77,2007-04-25,-0.13142834548699,0.0954405585645709
78,2007-04-26,-0.268668371255195,-0.354421376986631
79,2007-04-27,0.014529508602505,-0.120282460505361
80,2007-04-30,0.0980312029692026,0.0438600971972348
81,2007-05-01,0.26506665828830606,0.30072738971956103
82,2007-05-02,-0.0499883290364122,0.0225852659808295
83,2007-05-03,-0.20152879664840304,-0.161365280443716
84,2007-05-04,-0.14937338719499402,-0.234247060839162
85,2007-05-07,-0.0623259186065199,-0.0892567114594844
86,2007-05-08,-0.0734827890449786,-0.0709639909502504
87,2007-05-09,0.0542259376666558,0.0371031038165167
88,2007-05-10,-0.118462994212965,-0.10530715093635401
89,2007-05-11,0.329535143865723,0.177293239310656
90,2007-05-14,-0.293302425143959,-0.21889250413016897
91,2007-05-15,0.0678342410148863,0.06034449936709099
92,2007-05-16,-0.0336082943747432,0.0882734202629162
93,2007-05-17,-0.295253758046905,-0.18548264104710102
94,2007-05-18,-0.13013541984566301,-0.0969503657915383
95,2007-05-21,-0.186587864300419,-0.120746427039642
96,2007-05-22,-0.13891975403207502,-0.0828499826577237
97,2007-05-23,0.14662173977745702,-0.0195992859878515
98,2007-05-24,0.00225681602998889,0.0849764797953735
99,2007-05-25,0.45304716299284997,0.257944147621722
100,2007-05-29,-0.277633945603203,-0.05970819693789
