Date,FamaFrench
2007-01-03 ,-0.381767069112372
2007-01-04 ,-0.950947991678847
2007-01-05 ,-0.0633012411386591
2007-01-08 ,-0.205960608445984
2007-01-09 ,0.0474502134229889
2007-01-10 ,0.699552003170034
2007-01-11 ,0.413175831373061
2007-01-12 ,0.938333257124016
2007-01-16 ,0.375842622107576
2007-01-17 ,0.147089015075989
2007-01-18 ,0.396830797059776
2007-01-19 ,-1.2271333389801
2007-01-22 ,0.572237622975542
2007-01-23 ,0.0655582076392462
2007-01-24 ,0.986032125387397
2007-01-25 ,0.350991787317656
2007-01-26 ,-0.36334820030941
2007-01-29 ,0.433912544942819
2007-01-30 ,-0.0900139465905369
2007-01-31 ,0.0125407447770171
2007-02-01 ,1.11352591756599
2007-02-02 ,0.333694872697539
2007-02-05 ,0.366544701659098
2007-02-06 ,-0.355945132378275
2007-02-07 ,0.238054066300684
2007-02-08 ,-0.313470953006662
2007-02-09 ,-0.411141951174608
2007-02-12 ,-0.719349500311152
2007-02-13 ,-0.153843837132382
2007-02-14 ,0.303628471862985
2007-02-15 ,0.413650208183417
2007-02-16 ,0.598286824087986
2007-02-20 ,0.190526779417417
2007-02-21 ,0.5163232281918
2007-02-22 ,0.625334732856838
2007-02-23 ,0.110731537407747
2007-02-26 ,0.233332401312818
2007-02-27 ,-0.288211625714672
2007-02-28 ,-0.59225539489086
2007-03-01 ,-0.236513446694066
2007-03-02 ,0.1184671901519
2007-03-05 ,-0.664238988252596
2007-03-06 ,-0.652314788395497
2007-03-07 ,0.277373002964509
2007-03-08 ,0.773318501145827
2007-03-09 ,0.884852573287343
2007-03-12 ,-0.0514666408801737
2007-03-13 ,-0.519696175930574
2007-03-14 ,-0.693801944777737
2007-03-15 ,0.45981922716647
2007-03-16 ,0.348278590131409
2007-03-19 ,-0.157384487337481
2007-03-20 ,0.683013636039867
2007-03-21 ,-0.0371771125225472
2007-03-22 ,0.195981489867376
2007-03-23 ,0.170527011916258
2007-03-26 ,0.613114973078887
2007-03-27 ,-0.221534659812331
2007-03-28 ,-0.137388233299699
2007-03-29 ,-0.141378545837696
2007-03-30 ,-0.156434481324714
2007-04-02 ,-0.22170319466785
2007-04-03 ,0.464168075613482
2007-04-04 ,0.167354331616806
2007-04-05 ,0.0838662307876012
2007-04-09 ,0.157344778547245
2007-04-10 ,0.275678188503886
2007-04-11 ,0.224535379827768
2007-04-12 ,0.126508363090265
2007-04-13 ,-0.0206813542518404
2007-04-16 ,0.0940353689862586
2007-04-17 ,0.28359811313634
2007-04-18 ,-0.0409478414690218
2007-04-19 ,0.290008571808216
2007-04-20 ,-0.0764896636961769
2007-04-23 ,0.189581112089138
2007-04-24 ,0.622263363099203
2007-04-25 ,0.212238790197698
2007-04-26 ,0.146890740855051
2007-04-27 ,0.302812780774518
2007-04-30 ,0.711453790052165
2007-05-01 ,-0.98306974738634
2007-05-02 ,-0.266335113345459
2007-05-03 ,0.396173957868908
2007-05-04 ,0.520220748594709
2007-05-07 ,-0.0362658008873789
2007-05-08 ,-0.42630536872334
2007-05-09 ,0.0403766110654679
2007-05-10 ,0.976991476198466
2007-05-11 ,0.0196625818434427
2007-05-14 ,-0.0748022048233294
2007-05-15 ,-0.0661347520613038
2007-05-16 ,-0.614492148509165
2007-05-17 ,-0.681787347730341
2007-05-18 ,0.913084470162746
2007-05-21 ,0.199056371298655
2007-05-22 ,0.227724332439601
2007-05-23 ,0.152004194747596
2007-05-24 ,-0.0139625049680589
2007-05-25 ,-0.429756845148993
2007-05-29 ,0.558824796987675
2007-05-30 ,0.012117805915805
2007-05-31 ,0.291223791572295
2007-06-01 ,0.236150506753873
2007-06-04 ,0.383496019250131
2007-06-05 ,0.0808257233338219
2007-06-06 ,0.376262598071612
2007-06-07 ,-0.130630595574173
2007-06-08 ,-0.420012710831331
2007-06-11 ,0.217470035030494
2007-06-12 ,-0.0486624094373926
2007-06-13 ,-0.279724496492967
2007-06-14 ,0.214016180581065
2007-06-15 ,0.41885651918519
2007-06-18 ,-0.282931437005717
2007-06-19 ,0.285490175970104
2007-06-20 ,-0.0725518382619551
2007-06-21 ,-0.171675160988751
2007-06-22 ,-0.229442129302036
2007-06-25 ,0.616711391659364
2007-06-26 ,-0.262770267992712
2007-06-27 ,-0.394634035314624
2007-06-28 ,-0.177683814977875
2007-06-29 ,0.328576635458859
2007-07-02 ,0.0239576732291128
2007-07-03 ,0.783786417531761
2007-07-05 ,-0.369440716186749
2007-07-06 ,0.426609860667799
2007-07-09 ,0.905845359423456
2007-07-10 ,0.619213353999861
2007-07-11 ,-0.392846500922888
2007-07-12 ,0.0523363475007226
2007-07-13 ,0.413303708711242
2007-07-16 ,0.227944596759889
2007-07-17 ,-0.237603255170625
2007-07-18 ,0.0414263650522384
2007-07-19 ,-0.274750551057532
2007-07-20 ,-0.421937204877366
2007-07-23 ,-0.663338937495315
2007-07-24 ,-0.323565420002839
2007-07-25 ,-0.771432203133589
2007-07-26 ,-0.78104240630199
2007-07-27 ,0.123209143177429
2007-07-30 ,0.211844577806493
2007-07-31 ,0.988613046059387
2007-08-01 ,-0.400802977417384
2007-08-02 ,-0.774897693026529
2007-08-03 ,0.225541507771794
2007-08-06 ,-1.54075258892664
2007-08-07 ,-0.688877387996524
2007-08-08 ,0.370101844910344
2007-08-09 ,0.785737035723185
2007-08-10 ,-0.956952300225509
2007-08-13 ,-0.124447756853253
2007-08-14 ,-0.228254738015856
2007-08-15 ,-0.865785683055504
2007-08-16 ,-1.13158884887482
2007-08-17 ,-0.829634547021021
