Dates,BookValue,,,,
2007-07-09 ,-0.15171941177789,,,,
2007-07-10 ,-0.417200212815951,,,,
2007-07-11 ,-0.556561950816006,,,,
2007-07-12 ,-0.234052891247153,,,,
2007-07-13 ,-0.533490635072967,,,,
2007-07-16 ,0.100293469180286,,,,
2007-07-17 ,-0.305686176212655,,,,
2007-07-18 ,0.34538117284957,,,,
2007-07-19 ,-0.229528527894137,,,,
2007-07-20 ,-0.451215037163341,,,,
2007-07-23 ,-0.179877520957166,,,,
2007-07-24 ,-0.22692713322741,,,,
2007-07-25 ,0.0789181512886621,,,,
2007-07-26 ,-0.316752640059742,,,,
2007-07-27 ,-0.219721253487696,,,,
2007-07-30 ,-0.474252364821115,,,,
2007-07-31 ,-0.386970146790805,,,,
2007-08-01 ,-0.345036302176391,,,,
2007-08-02 ,0.484523994026399,,,,
2007-08-03 ,-0.237496167783204,,,,
2007-08-06 ,-0.507968432134168,,,,
2007-08-07 ,0.524041406082554,,,,
2007-08-08 ,0.214095748292569,,,,
2007-08-09 ,0.0396033498017174,,,,
2007-08-10 ,0.175792867427847,,,,
2007-08-13 ,0.0224777754399203,,,,
2007-08-14 ,-0.494143297784254,,,,
2007-08-15 ,-0.436046331720587,,,,
2007-08-16 ,1.1101597020503,,,,
2007-08-17 ,1.82765466691242,,,,
2007-08-20 ,-0.037915398312086,,,,
2007-08-21 ,-0.545162059258457,,,,
2007-08-22 ,-0.193635684236127,,,,
2007-08-23 ,-0.573690008961778,,,,
2007-08-24 ,0.0493400880344608,,,,
2007-08-27 ,-0.759435865881034,,,,
2007-08-28 ,-0.540416991099271,,,,
2007-08-29 ,0.372714360676334,,,,
2007-08-30 ,0.0135836642434711,,,,
2007-08-31 ,-0.4637702202761,,,,
2007-09-04 ,-0.715614265166051,,,,
2007-09-05 ,0.3533615390321,,,,
2007-09-06 ,0.0831362909475785,,,,
2007-09-07 ,-0.143313376585892,,,,
2007-09-10 ,0.379739465633537,,,,
2007-09-11 ,-0.408694338889899,,,,
2007-09-12 ,-0.0901759618455121,,,,
2007-09-13 ,0.00244062831117764,,,,
2007-09-14 ,0.406403751988949,,,,
2007-09-17 ,0.0948952761939388,,,,
2007-09-18 ,-0.0827080530975015,,,,
2007-09-19 ,-0.140156242345277,,,,
2007-09-20 ,1.03524583583052,,,,
2007-09-21 ,-0.616212312949299,,,,
2007-09-24 ,-0.487284713349917,,,,
2007-09-25 ,-0.852012261147231,,,,
2007-09-26 ,-0.907726015248198,,,,
2007-09-27 ,-0.130425838164195,,,,
2007-09-28 ,0.0776969068783999,,,,
2007-10-01 ,-0.124007268011516,,,,
2007-10-02 ,0.0285377755239047,,,,
2007-10-03 ,-0.283811105008686,,,,
2007-10-04 ,-0.0105034188915672,,,,
2007-10-05 ,-0.213317570669945,,,,
2007-10-08 ,-0.447568354342999,,,,
2007-10-09 ,-0.843435423758,,,,
2007-10-10 ,0.0428015005985753,,,,
2007-10-11 ,-0.526593119921741,,,,
2007-10-12 ,1.06664608114317,,,,
2007-10-15 ,-1.47972490950813,,,,
2007-10-16 ,0.350174422394886,,,,
2007-10-17 ,-0.206667023326164,,,,
2007-10-18 ,-0.768998601541254,,,,
2007-10-19 ,0.0459289334901876,,,,
2007-10-22 ,-0.302522292784059,,,,
2007-10-23 ,-0.923422401223709,,,,
2007-10-24 ,-1.32550309598353,,,,
2007-10-25 ,0.674235758460086,,,,
