Date,HMM
2017-09-01 ,0.621839487721731
2017-09-05 ,-0.658038397667354
2017-09-06 ,0.430278058340761
2017-09-07 ,0.0533835266901124
2017-09-08 ,-0.46027511401803
2017-09-11 ,1.24486788408149
2017-09-12 ,0.290201772962993
2017-09-13 ,0.234537542685538
2017-09-14 ,-0.21237704646081
2017-09-15 ,0.220868639068454
2017-09-18 ,0.620291687592817
2017-09-19 ,0.344061091645397
2017-09-20 ,0.0892943117827805
2017-09-21 ,-0.38599912902073
2017-09-22 ,0.19585994578645
2017-09-25 ,-1.09427318080491
2017-09-26 ,0.181760903429399
2017-09-27 ,0.26013464176262
2017-09-28 ,0.0380120822211028
2017-09-29 ,0.89123322149106
2017-10-02 ,1.52820976651467
2017-10-03 ,0.569303075811931
2017-10-04 ,-0.00353671825747097
2017-10-05 ,0.496838880467954
2017-10-06 ,0.093282106838928
2017-10-09 ,-0.273917624003746
2017-10-10 ,0.390020212487454
2017-10-11 ,0.413067494532821
2017-10-12 ,-0.795095839817612
2017-10-13 ,0.402098602128768
2017-10-16 ,0.183393051805032
2017-10-17 ,0.00719422050175259
2017-10-18 ,0.227242211034085
2017-10-19 ,-0.380655972315272
2017-10-20 ,1.09249400120465
2017-10-23 ,-1.62434492923371
2017-10-24 ,0.353810900576135
2017-10-25 ,-1.2335355349684
2017-10-26 ,0.336195528943073
2017-10-27 ,1.87544322614262
2017-10-30 ,-0.669146579663039
2017-10-31 ,0.00475299613967659
2017-11-01 ,3.60218636967868
2017-11-02 ,-0.145757392204496
2017-11-03 ,1.28841763932229
2017-11-06 ,0.987502798209141
2017-11-07 ,-0.435599789709674
2017-11-08 ,0.415529757905633
2017-11-09 ,-0.688176822686998
2017-11-10 ,0.354224169401626
2017-11-13 ,0.825494364037052
2017-11-14 ,-0.360408202231643
2017-11-15 ,-0.677593637870013
2017-11-16 ,1.26103969727185
2017-11-17 ,-0.00114105454405239
2017-11-20 ,0.989016728993183
2017-11-21 ,1.01917197084115
2017-11-22 ,-0.554076623258678
2017-11-24 ,0.479129315235936
2017-11-27 ,-0.734727900895024
2017-11-28 ,1.63673616290153
2017-11-29 ,-1.09075459388844
2017-11-30 ,1.3349057480993
2017-12-01 ,5.33168929756131
2017-12-04 ,1.1855889118941
2017-12-05 ,-1.23273695041578
2017-12-06 ,-0.730425417047298
2017-12-07 ,0.853560908079669
2017-12-08 ,1.5259987442188
2017-12-11 ,0.533847739521042
2017-12-12 ,-0.106045403425845
2017-12-13 ,0.035439953573357
2017-12-14 ,-1.04505915248761
2017-12-15 ,0.611268455842919
2017-12-18 ,2.22910593303187
2017-12-19 ,0.0870271867219654
2017-12-20 ,-0.00827818548266968
2017-12-21 ,1.06934696120872
2017-12-22 ,-0.0764632028179742
2017-12-26 ,0.49983713188094
2017-12-27 ,-0.133582178584353
2017-12-28 ,-0.0188345666365826
2017-12-29 ,-0.686028373599346
2018-01-02 ,3.54738036816202
2018-01-03 ,0.880547060309687
2018-01-04 ,0.721919315898688
2018-01-05 ,0.679473109098426
2018-01-08 ,-0.101381759000168
2018-01-09 ,-0.224188222704282
2018-01-10 ,0.34687792219709
2018-01-11 ,2.63265314922018
2018-01-12 ,1.58329103169707
2018-01-16 ,-1.19881478576916
2018-01-17 ,1.3655751930867
2018-01-18 ,-0.101895625589021
2018-01-19 ,1.05183757147876
2018-01-22 ,2.2928701511986
2018-01-23 ,0.653189393558709
2018-01-24 ,-0.449287385152545
2018-01-25 ,-0.671586041213396
2018-01-26 ,0.926076356420855
2018-01-29 ,-1.49728927632238
2018-01-30 ,-2.1276554968724
2018-01-31 ,-0.354179023047741
2018-02-01 ,5.64758463178812
2018-02-02 ,-3.53466457153212
2018-02-05 ,-0.830891310334409
2018-02-06 ,0.270316816647744
2018-02-07 ,0.12409991110106
2018-02-08 ,-0.824028526924835
2018-02-09 ,-0.00691755413617436
2018-02-12 ,0.236097387170895
2018-02-13 ,0.259093495345703
2018-02-14 ,0.367119928053897
2018-02-15 ,0.339891227698265
2018-02-16 ,-0.474796321647778
2018-02-20 ,0.0951528888310115
2018-02-21 ,-0.072244827024788
2018-02-22 ,0.0291145197740385
2018-02-23 ,0.268533491163246
2018-02-26 ,0.123467906974018
2018-02-27 ,-0.345869296050445
2018-02-28 ,-0.0697070829620211
2018-03-01 ,-1.18784886627305
2018-03-02 ,1.54901237978145
2018-03-05 ,1.36385463105951
2018-03-06 ,1.42798831406447
2018-03-07 ,-0.358050093343789
2018-03-08 ,0.512014631529911
2018-03-09 ,3.56994746416784
2018-03-12 ,-0.487633868128022
2018-03-13 ,-1.4889833887981
2018-03-14 ,-1.23814249910366
2018-03-15 ,-0.522397375582487
2018-03-16 ,0.535628509620643
2018-03-19 ,-1.78580246444199
2018-03-20 ,0.869325261979721
2018-03-21 ,0.210401578324528
2018-03-22 ,-5.26667771415908
2018-03-23 ,-0.509523903137232
2018-03-26 ,0.728516112373017
2018-03-27 ,-0.60090824791112
2018-03-28 ,-0.253146564581526
2018-03-29 ,0.489958012303541
2018-04-02 ,-3.47507280319435
2018-04-03 ,0.24830299769159
2018-04-04 ,0.253512698292617
2018-04-05 ,0.0215553796252317
2018-04-06 ,-0.21493427306684
2018-04-09 ,-0.00586326376255681
2018-04-10 ,0.311624902118668
2018-04-11 ,-0.0218618712835486
2018-04-12 ,0.123106868484182
2018-04-13 ,-0.224200134771443
2018-04-16 ,0.455708358124918
2018-04-17 ,0.28154390635722
2018-04-18 ,0.0997554810485391
2018-04-19 ,-0.358393478163168
2018-04-20 ,-0.38477135606667
