Date,Carhart
2017-09-01 ,-0.0996699999999983
2017-09-05 ,0.555671573774577
2017-09-06 ,0.0234268300459603
2017-09-07 ,-0.0782808399053835
2017-09-08 ,0.339590456426836
2017-09-11 ,-0.823100988729349
2017-09-12 ,-0.295836090439216
2017-09-13 ,0.0364367859572991
2017-09-14 ,0.410558013222391
2017-09-15 ,-0.75449286698186
2017-09-18 ,0.272915153292324
2017-09-19 ,0.788363468743872
2017-09-20 ,-0.238998599071528
2017-09-21 ,-0.473053404233093
2017-09-22 ,-0.470489370775073
2017-09-25 ,0.634717247570296
2017-09-26 ,-0.817050947523781
2017-09-27 ,0.46763958899161
2017-09-28 ,0.673674529764393
2017-09-29 ,0.481288990223665
2017-10-02 ,-0.337553288805388
2017-10-03 ,-0.167978867422211
2017-10-04 ,0.180372491741533
2017-10-05 ,-0.0167747597972142
2017-10-06 ,-0.598263971301845
2017-10-09 ,0.212996186104773
2017-10-10 ,0.0808969186457315
2017-10-11 ,-0.174001911406793
2017-10-12 ,0.00274473035724083
2017-10-13 ,0.703313033541493
2017-10-16 ,0.455882683125823
2017-10-17 ,-0.151010866295419
2017-10-18 ,0.389594149678617
2017-10-19 ,0.46463264074368
2017-10-20 ,-0.489853197488743
2017-10-23 ,-0.0710564179899883
2017-10-24 ,0.359773434283706
2017-10-25 ,-0.00838502739249709
2017-10-26 ,-0.31924395594086
2017-10-27 ,0.0289949196091659
2017-10-30 ,0.207706514122633
2017-10-31 ,-0.103064298890484
2017-11-01 ,0.321410888016987
2017-11-02 ,0.451498589557596
2017-11-03 ,-0.0116247527809167
2017-11-06 ,0.129743696844364
2017-11-07 ,-0.054978371852053
2017-11-08 ,-0.107530266771376
2017-11-09 ,-0.150767064132434
2017-11-10 ,0.715138118146612
2017-11-13 ,0.945642290137546
2017-11-14 ,-0.477564520516745
2017-11-15 ,0.318938860979282
2017-11-16 ,0.415577619575221
2017-11-17 ,0.855446686000521
2017-11-20 ,0.728296448147746
2017-11-21 ,0.943066832673613
2017-11-22 ,0.0167743355713516
2017-11-24 ,0.0113981150919423
2017-11-27 ,-0.192863652854663
2017-11-28 ,-0.191240360791515
2017-11-29 ,0.817770024293566
2017-11-30 ,0.945865482206181
2017-12-01 ,0.568058976484635
2017-12-04 ,-1.210184661831
2017-12-05 ,-0.319791162994443
2017-12-06 ,0.123899853737338
2017-12-07 ,0.345227764149035
2017-12-08 ,1.25635888734022
2017-12-11 ,-0.314736706671317
2017-12-12 ,0.387778867423884
2017-12-13 ,-0.854003973260314
2017-12-14 ,0.139947292504738
2017-12-15 ,-0.156892719518238
2017-12-18 ,0.0101929907707746
2017-12-19 ,0.640628318650796
2017-12-20 ,0.2434534638325
2017-12-21 ,0.201692162694897
2017-12-22 ,-1.28226403240134
2017-12-26 ,0.053883565677493
2017-12-27 ,-0.397391944703876
2017-12-28 ,0.179971323607731
2017-12-29 ,0.0572637883449926
2018-01-02 ,-0.595502637600181
2018-01-03 ,-0.243752215876528
2018-01-04 ,-0.493416305803551
2018-01-05 ,-0.721757009744267
2018-01-08 ,0.429372588051468
2018-01-09 ,0.0858409762230667
2018-01-10 ,-0.450170572998467
2018-01-11 ,-0.0036602786784032
2018-01-12 ,0.824076575488791
2018-01-16 ,0.506667927624425
2018-01-17 ,-0.567034726407788
2018-01-18 ,0.670243168254755
2018-01-19 ,0.120552900063159
2018-01-22 ,1.06018616890417
2018-01-23 ,-0.232540207741156
2018-01-24 ,-0.880393765995767
2018-01-25 ,-0.959918438676968
2018-01-26 ,-0.53938381784967
2018-01-29 ,-0.0386807559156266
2018-01-30 ,-0.317737863288947
2018-01-31 ,0.259166548214863
2018-02-01 ,-1.36223437488647
2018-02-02 ,0.884059691868467
2018-02-05 ,-0.907163002379037
2018-02-06 ,0.601194041349021
2018-02-07 ,0.370185928093552
2018-02-08 ,1.00290697670555
2018-02-09 ,-0.397829922569516
2018-02-12 ,0.0764229565349411
2018-02-13 ,0.0101807752858063
2018-02-14 ,0.760471198779604
2018-02-15 ,0.609165697578758
2018-02-16 ,-0.381024262734893
2018-02-20 ,-0.112450526743541
2018-02-21 ,0.289688361038437
2018-02-22 ,0.282879823328953
2018-02-23 ,-0.125438512395728
2018-02-26 ,0.204448555705368
2018-02-27 ,-0.512738214486292
2018-02-28 ,-0.607942375593754
2018-03-01 ,0.0552476213867757
2018-03-02 ,-0.335523231627779
2018-03-05 ,1.0311267827693
2018-03-06 ,-0.661225970907808
2018-03-07 ,-0.0240366674808237
2018-03-08 ,0.829493999295666
2018-03-09 ,0.292011786136861
2018-03-12 ,-0.22468028875613
2018-03-13 ,-0.534087257885273
2018-03-14 ,0.0864758281893006
2018-03-15 ,-0.219605885116097
2018-03-16 ,0.141294737201331
2018-03-19 ,-0.182844472515471
2018-03-20 ,0.494122791126264
2018-03-21 ,0.47023139978407
2018-03-22 ,-0.420370395248887
2018-03-23 ,-0.498247364847417
2018-03-26 ,-0.331661891367725
2018-03-27 ,0.523527130600686
2018-03-28 ,-1.39204100349757
2018-03-29 ,-0.507677619913343
2018-04-02 ,0.291508753367638
2018-04-03 ,-0.455856519728962
2018-04-04 ,0.0301213570043199
2018-04-05 ,0.950844452740466
2018-04-06 ,-0.214080046790875
2018-04-09 ,-0.582398887005471
2018-04-10 ,-0.428082333173598
2018-04-11 ,-0.294878640195772
2018-04-12 ,-0.494745918160695
2018-04-13 ,0.340081524664156
2018-04-16 ,-1.02025346642622
2018-04-17 ,-0.146409351136394
2018-04-18 ,0.551346506669432
2018-04-19 ,0.0639892513748898
