Date,Growth
2017-09-01 ,0.637865514888414
2017-09-05 ,-0.657393125574692
2017-09-06 ,0.429859796957484
2017-09-07 ,0.0504795043960592
2017-09-08 ,-0.461335928315344
2017-09-11 ,1.24495780437472
2017-09-12 ,0.290269729172121
2017-09-13 ,0.235915288937329
2017-09-14 ,-0.21242672113456
2017-09-15 ,0.221193095202274
2017-09-18 ,0.622381474976273
2017-09-19 ,0.345490448679562
2017-09-20 ,0.0893040149495554
2017-09-21 ,-0.387866583844799
2017-09-22 ,0.193607431175479
2017-09-25 ,-0.810588074533223
2017-09-26 ,-0.00764265240845229
2017-09-27 ,0.512019514764933
2017-09-28 ,0.0602583467112361
2017-09-29 ,0.63093540064021
2017-10-02 ,1.96987927256263
2017-10-03 ,0.595369102582118
2017-10-04 ,0.0221614730301852
2017-10-05 ,0.528737608395042
2017-10-06 ,0.0229511882488077
2017-10-09 ,-0.289732113126712
2017-10-10 ,0.42257052572147
2017-10-11 ,0.398157521347646
2017-10-12 ,-0.768229499576934
2017-10-13 ,0.450607345119647
2017-10-16 ,0.203035164857276
2017-10-17 ,-0.0811377992191983
2017-10-18 ,0.243548830553677
2017-10-19 ,0.0755959797328318
2017-10-20 ,0.626095274629865
2017-10-23 ,-1.04556803721576
2017-10-24 ,0.454764068914113
2017-10-25 ,-1.02238626022687
2017-10-26 ,0.0256209923439631
2017-10-27 ,0.146960613246202
2017-10-30 ,-0.450623843086969
2017-10-31 ,0.0970253622282572
2017-11-01 ,3.68004010906496
2017-11-02 ,-0.141788570286293
2017-11-03 ,1.28782834590836
2017-11-06 ,0.988438131164709
2017-11-07 ,-0.43739165684545
2017-11-08 ,0.413126390364912
2017-11-09 ,-0.686691228892282
2017-11-10 ,0.358672697702693
2017-11-13 ,0.827098228929104
2017-11-14 ,-0.360170959731284
2017-11-15 ,-0.676839267842019
2017-11-16 ,1.25917305659752
2017-11-17 ,0.00417756847649301
2017-11-20 ,0.267029341666397
2017-11-21 ,1.28079506401865
2017-11-22 ,-0.0701679528835387
2017-11-24 ,0.315500141124403
2017-11-27 ,-0.864864799601748
2017-11-28 ,1.32635477014961
2017-11-29 ,-0.973288425802385
2017-11-30 ,1.262617045805
2017-12-01 ,5.33024792893785
2017-12-04 ,1.17327218706157
2017-12-05 ,-1.23290277509589
2017-12-06 ,-0.738413729121118
2017-12-07 ,0.85291288585435
2017-12-08 ,1.52292503217212
2017-12-11 ,0.530322529673511
2017-12-12 ,-0.101570577480756
2017-12-13 ,0.038837114033041
2017-12-14 ,-1.04848243494455
2017-12-15 ,0.604027859166408
2017-12-18 ,2.23278044680527
2017-12-19 ,0.087395337050664
2017-12-20 ,-0.0168139014956736
2017-12-21 ,1.06464193569445
2017-12-22 ,-0.0832715645901724
2017-12-26 ,0.49489160274268
2017-12-27 ,-0.127606023063941
2017-12-28 ,0.275048157989262
2017-12-29 ,-1.06829010627206
2018-01-02 ,3.69105744889552
2018-01-03 ,0.877519450486576
2018-01-04 ,0.72334498111027
2018-01-05 ,0.677381824283692
2018-01-08 ,-0.100355669021539
2018-01-09 ,-0.223839496429835
2018-01-10 ,0.345579340199948
2018-01-11 ,2.62633073489149
2018-01-12 ,1.58082992649897
2018-01-16 ,-1.1978364362951
2018-01-17 ,1.35726825527505
2018-01-18 ,-0.101926372638088
2018-01-19 ,1.0522908646189
2018-01-22 ,2.28593195552731
2018-01-23 ,0.653092714499814
2018-01-24 ,-0.4484713509384
2018-01-25 ,-0.671418540125776
2018-01-26 ,0.935864243129983
2018-01-29 ,-1.48545494762978
2018-01-30 ,-2.12545062588012
2018-01-31 ,-0.352113628339088
2018-02-01 ,5.66476195906109
2018-02-02 ,-3.53811213797566
2018-02-05 ,-6.31141359029077
2018-02-06 ,2.60164074037362
2018-02-07 ,-0.727678184069301
2018-02-08 ,-6.46142726408845
2018-02-09 ,2.42287377397356
2018-02-12 ,2.00483180007108
2018-02-13 ,0.872643465312792
2018-02-14 ,2.73761164943436
2018-02-15 ,1.53246209462167
2018-02-16 ,-0.539128004519685
2018-02-20 ,-0.487206542593881
2018-02-21 ,-0.830640444610192
2018-02-22 ,-0.0597949292212095
2018-02-23 ,1.86329329482786
2018-02-26 ,1.79522080458972
2018-02-27 ,-2.20031858370822
2018-02-28 ,-1.51823990400691
2018-03-01 ,0.3174997579622
2018-03-02 ,1.50413183871143
2018-03-05 ,1.3928433161269
2018-03-06 ,1.3860338087978
2018-03-07 ,-0.355243816709455
2018-03-08 ,0.516714288761376
2018-03-09 ,3.55196566591996
2018-03-12 ,-0.523390505722916
2018-03-13 ,-1.49632179603071
2018-03-14 ,-1.26133113164731
2018-03-15 ,-0.511020354244438
2018-03-16 ,0.53525075426748
2018-03-19 ,-1.76073086405353
2018-03-20 ,0.894890259805197
2018-03-21 ,0.197583606101548
2018-03-22 ,-5.28760696646881
2018-03-23 ,-3.63936290989387
2018-03-26 ,5.04037786021674
2018-03-27 ,-3.31582518782929
2018-03-28 ,-1.11542179486241
2018-03-29 ,3.41985178852187
2018-04-02 ,-4.96118366179604
2018-04-03 ,2.8076131258419
2018-04-04 ,1.66224163835898
2018-04-05 ,1.76133952662909
2018-04-06 ,-3.60321256810865
2018-04-09 ,0.457029783019691
2018-04-10 ,2.63942835782206
2018-04-11 ,-0.367742838317777
2018-04-12 ,0.770770436339994
2018-04-13 ,0.245452711931949
2018-04-16 ,1.59636050559423
2018-04-17 ,1.78146617838706
2018-04-18 ,1.03545772944911
2018-04-19 ,-1.19991627888323
2018-04-20 ,-1.10070534680014
