Date,AQR
2017-09-01 ,-0.0994049999999988
2017-09-05 ,-0.303148160269217
2017-09-06 ,-0.321168381421672
2017-09-07 ,0.118778877941575
2017-09-08 ,0.0346397243933773
2017-09-11 ,-0.0261030553367356
2017-09-12 ,0.424554107110619
2017-09-13 ,-0.0387569930483257
2017-09-14 ,-0.326788893021461
2017-09-15 ,-0.182766575826166
2017-09-18 ,-0.32037999390829
2017-09-19 ,-0.348604885980728
2017-09-20 ,0.742151555050266
2017-09-21 ,-0.190727673049076
2017-09-22 ,-0.324210910113938
2017-09-25 ,-0.0549530857637906
2017-09-26 ,0.088869143310671
2017-09-27 ,0.147989057028692
2017-09-28 ,-0.270211024361687
2017-09-29 ,-0.069423137389037
2017-10-02 ,0.034104466721546
2017-10-03 ,0.104486139009136
2017-10-04 ,0.031218203175399
2017-10-05 ,0.329556081744417
2017-10-06 ,-0.491511237965904
2017-10-09 ,-0.0860004140986708
2017-10-10 ,0.530437449562332
2017-10-11 ,0.0412191980409808
2017-10-12 ,0.264205078782181
2017-10-13 ,0.510982304983484
2017-10-16 ,0.321991654225719
2017-10-17 ,0.106695012152017
2017-10-18 ,-0.332053248611211
2017-10-19 ,0.00893202522146042
2017-10-20 ,0.0752986635269154
2017-10-23 ,0.131059553240688
2017-10-24 ,-0.0345046086530346
2017-10-25 ,0.218494201406314
2017-10-26 ,0.562959124758396
2017-10-27 ,0.012325683544989
2017-10-30 ,0.351875115633735
2017-10-31 ,0.294392587412733
2017-11-01 ,-0.478323219968666
2017-11-02 ,1.30859364204001
2017-11-03 ,-0.605861659129711
2017-11-06 ,-0.456995316782065
2017-11-07 ,0.812513749241949
2017-11-08 ,-0.0775315925043109
2017-11-09 ,-0.22029053175074
2017-11-10 ,0.540217198015956
2017-11-13 ,-0.642237451264985
2017-11-14 ,-0.170418668065829
2017-11-15 ,-0.572420335554059
2017-11-16 ,0.249307017968447
2017-11-17 ,-0.768631845108223
2017-11-20 ,-0.355987047874184
2017-11-21 ,0.439524021068887
2017-11-22 ,-0.0900552763041807
2017-11-24 ,0.214660887345834
2017-11-27 ,0.133995565764745
2017-11-28 ,-0.240945618781714
2017-11-29 ,0.649325472435832
2017-11-30 ,0.895762450098317
2017-12-01 ,-0.166128093149341
2017-12-04 ,0.260569800791757
2017-12-05 ,-0.496013460896559
2017-12-06 ,0.0246246149919454
2017-12-07 ,0.190039359168772
2017-12-08 ,0.352510812457287
2017-12-11 ,-0.0852101897194194
2017-12-12 ,-0.00585943473373633
2017-12-13 ,-0.00314156377699805
2017-12-14 ,-0.785165691081644
2017-12-15 ,-0.00522852930881723
2017-12-18 ,-0.41998592219977
2017-12-19 ,-0.0176751206918397
2017-12-20 ,-0.668260792740316
2017-12-21 ,0.518941679973297
2017-12-22 ,-0.0740872995930499
2017-12-26 ,-0.0282847029142665
2017-12-27 ,-0.134946264025434
2017-12-28 ,0.0129765418538839
2017-12-29 ,0.231410017033537
2018-01-02 ,-0.089383289771454
2018-01-03 ,-0.0988066624789569
2018-01-04 ,-0.521187952340531
2018-01-05 ,-0.20452422685598
2018-01-08 ,-0.234629749370421
2018-01-09 ,-0.345261427834442
2018-01-10 ,0.200943277340588
2018-01-11 ,-0.062849875193461
2018-01-12 ,0.191590067231569
2018-01-16 ,0.272977711686954
2018-01-17 ,0.526190524060031
2018-01-18 ,-0.315752353832453
2018-01-19 ,-0.31565078934419
2018-01-22 ,-0.311162887907037
2018-01-23 ,-0.37358023452496
2018-01-24 ,-0.518414614417305
2018-01-25 ,-0.536150988302174
2018-01-26 ,-0.390419191428558
2018-01-29 ,-0.184062107101839
2018-01-30 ,-0.295462376634503
2018-01-31 ,-0.609353916837333
2018-02-01 ,-1.19853208814282
2018-02-02 ,1.00054969150119
2018-02-05 ,-1.01144721667487
2018-02-06 ,0.00668134998118116
2018-02-07 ,0.302591563325049
2018-02-08 ,-0.950413831670523
2018-02-09 ,-0.0829256221455811
2018-02-12 ,0.134839028541069
2018-02-13 ,0.207968499116465
2018-02-14 ,-0.155372544133862
2018-02-15 ,0.405057847606222
2018-02-16 ,-0.65277700854814
2018-02-20 ,-0.365434312169488
2018-02-21 ,-0.327759719258913
2018-02-22 ,-0.3027534676991
2018-02-23 ,0.86061741322879
2018-02-26 ,0.0703762688891691
2018-02-27 ,0.396572926353783
2018-02-28 ,-0.49347577864107
2018-03-01 ,-0.905781603415103
2018-03-02 ,0.0239929537377793
2018-03-05 ,-0.430797755119034
2018-03-06 ,0.451299551181154
2018-03-07 ,-0.0495974099893617
2018-03-08 ,-0.24760562811767
2018-03-09 ,-0.317762597687918
2018-03-12 ,0.31657352180915
2018-03-13 ,0.440540152656404
2018-03-14 ,-0.143615956596791
2018-03-15 ,0.310989314666175
2018-03-16 ,0.0744605336935769
2018-03-19 ,0.395076409248357
2018-03-20 ,-0.164195249233358
2018-03-21 ,-0.000481895106361614
2018-03-22 ,0.537157298323271
2018-03-23 ,-0.223382399073815
2018-03-26 ,-0.337665807662953
2018-03-27 ,0.113765475071505
2018-03-28 ,-0.357935821562225
2018-03-29 ,0.100801970722964
2018-04-02 ,0.0409121039331035
2018-04-03 ,0.648458062524012
2018-04-04 ,-0.174751330528689
2018-04-05 ,-0.5267528892035
2018-04-06 ,-0.358246376488456
2018-04-09 ,0.272832741751004
2018-04-10 ,0.115196613112591
2018-04-11 ,-0.18752620080485
2018-04-12 ,0.147124685904727
2018-04-13 ,-0.310516270082067
2018-04-16 ,0.384425254856626
2018-04-17 ,0.0935663192283362
2018-04-18 ,-0.358975225548242
